"SITE NAME","GLOBAL ID",SITE_TYPE,STATUS,ADDRESS,CITY,LATITUDE,LONGITUDE
"1 RENTAL",T0600100001,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1501 EASTSHORE HWY",BERKELEY,37.874038,-122.304942
"1003 CANAL BOULEVARD",60001873,"VOLUNTARY CLEANUP","NO FURTHER ACTION","1003 CANAL BOULEVARD",RICHMOND,37.918581,-122.37512
"1255 EASTSHORE HIGHWAY (FORMER HAWKINS TRAFFIC SAFETY SUPPLY)",T10000011080,"CLEANUP PROGRAM SITE","OPEN - SITE ASSESSMENT","1255 EASTSHORE HIGHWAY",BERKELEY,37.87953,-122.30673
"1835 SAN PABLO AVE",T10000011742,"CLEANUP PROGRAM SITE","OPEN - ACTIVE","1835 SAN PABLO AVENUE",BERKELEY,37.870907609906,-122.292239019516
"2206 CENTRAL STREET",60002379,"VOLUNTARY CLEANUP","NO FURTHER ACTION","2206 CENTRAL STREET",RICHMOND,37.963619,-122.36928
"2701 GOODRICK AVE",60000922,EVALUATION,"REFER: RWQCB","2701 GOODRICK AVE",RICHMOND,37.9717916,-122.36952
"2781 GOODRICK",7990008,EVALUATION,"NO ACTION REQUIRED","2781 GOODRICK AVENUE",RICHMOND,37.973509,-122.36993
"400 MACDONALD AVENUE",60000184,"VOLUNTARY CLEANUP","NO FURTHER ACTION","4TH STREET NEAR MACDONALD AVENUE",RICHMOND,37.9351365,-122.36537
"7 ELEVEN #20244",T0601300710,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3625 MACDONALD AVE",RICHMOND,37.934103,-122.334864
"7-ELEVEN STORE #22930",T0601300002,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2500 MACDONALD AVE",RICHMOND,37.935341,-122.345257
"740 EUCLID AVE. RESIDENCE",T10000001635,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","740 EUCLID",BERKELEY,37.8972369,-122.266855
"76 SERVICE STATION #4296",T0601301198,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3160 CARLSON BLVD","EL CERRITO",37.902436,-122.30465
"76 STATION #3713",T0601300483,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1503 CARLSON BLVD",RICHMOND,37.9111588513714,-122.318494319916
"76 STATION 2218",T0600137080,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1830 SOLANO AVENUE",BERKELEY,37.8911249250942,-122.278981338623
"8 BALL LINE TRUCKING",T0601300005,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2717 GOODRICK AVE",RICHMOND,37.972114,-122.3652514
"8TH STREET PROPERTY, #350",7550004,EVALUATION,"REFER: OTHER AGENCY","350 8TH STREET",RICHMOND,37.9363888,-122.36166
"909 OHIO AVENUE",60001924,"VOLUNTARY CLEANUP","NO FURTHER ACTION","909 OHIO AVENUE",RICHMOND,37.9310459,-122.36101
"A & A MARKET",T0601300712,"LUST CLEANUP SITE","OPEN - REMEDIATION","2221 CUTTING BLVD",RICHMOND,37.9254458268606,-122.347977161407
"AAMCO TRANSMISSION",T0600102000,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1177 SAN PABLO AVE",BERKELEY,37.883073,-122.296291
"AAQA MEATS  ALLSTAR STEAKS",T0600100015,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1411 SAN PABLO AVE",BERKELEY,37.878375,-122.294779
"AC PAPER",T0600100019,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1321 7TH ST",BERKELEY,37.8788095,-122.3000129
"AC TRANSIT",T0601300006,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2016 MACDONALD AVE",RICHMOND,37.935071,-122.350704
